date,tanks,armored_vehicle,planes,helicopters,cannons,mlrs_buk,mlrs_grad,mlrs,anti_air,uav,cruise_missiles,ships,cars_cisterns,special_equpment,personnel
2022-02-24,30,130,7,6,0,0,0,0,0,0,0,0,0,0,800
2022-02-25,100,516,10,7,0,0,0,0,0,0,0,0,0,0,2800
2022-02-26,100,540,16,18,0,0,0,0,0,0,0,0,0,0,3000
2022-02-27,150,706,27,26,50,1,4,0,0,2,0,2,0,0,4500
2022-02-28,191,816,29,29,74,1,21,0,0,3,0,2,0,0,5300
2022-03-01,198,846,29,29,77,1,24,0,7,3,0,2,0,0,5710
2022-03-02,211,862,30,31,85,0,40,0,9,3,0,2,0,0,5840
2022-03-03,217,900,30,31,90,0,0,42,11,3,0,2,0,0,9000
2022-03-04,251,939,37,37,105,0,0,50,18,3,0,2,0,0,9166
2022-03-05,269,945,39,40,105,0,0,50,19,3,0,2,0,0,10000
2022-03-06,285,985,44,48,109,0,0,50,21,4,0,2,0,0,11000
2022-03-07,290,999,46,68,117,0,0,50,23,7,0,3,0,0,11000
2022-03-08,303,1036,48,80,120,0,0,56,27,7,0,3,0,0,12000
2022-03-09,317,1070,49,81,120,0,0,56,28,7,0,3,0,0,12000
2022-03-10,335,1105,49,81,123,0,0,56,29,7,0,3,0,0,12000
2022-03-11,353,1165,57,83,125,0,0,58,31,7,0,3,0,0,12000
2022-03-12,362,1205,58,83,135,0,0,62,33,7,0,3,0,0,12000
2022-03-13,374,1226,74,86,140,0,0,62,34,7,0,3,0,0,12000
2022-03-14,389,1249,77,90,150,0,0,64,34,8,0,3,0,0,12000
2022-03-15,404,1279,81,95,150,0,0,64,36,9,0,3,0,0,13500
2022-03-16,430,1375,84,108,190,0,0,70,43,11,0,3,10,10,13800
2022-03-17,444,1435,86,108,201,0,0,72,43,11,0,3,10,10,14000
2022-03-18,450,1448,93,112,205,0,0,72,43,12,0,3,11,11,14200
2022-03-19,466,1470,95,115,213,0,0,72,44,17,0,3,11,11,14400
2022-03-20,476,1487,96,118,230,0,0,74,44,21,0,3,12,12,14700
2022-03-21,498,1535,97,121,240,0,0,80,45,24,0,3,13,13,15000
2022-03-22,509,1556,99,123,252,0,0,80,45,35,0,3,15,15,15300
2022-03-23,517,1578,101,124,267,0,0,80,47,42,0,4,15,15,15600
2022-03-24,530,1597,108,124,280,0,0,82,47,50,0,4,16,16,15800
2022-03-25,561,1625,115,125,291,0,0,90,49,53,0,5,18,18,16100
2022-03-26,575,1640,117,127,293,0,0,91,51,53,0,7,19,19,16400
